Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
24KBWBI3,thesis,2013,"Rohrbach, Amanda K.; Massachusetts Institute of Technology Engineering Systems Division; Technology and Policy Program",Implementing technical transitions through schedule-based policy: insights from the Military's Airborne Tactical Network,,,,,,"Due to a need for congestion relief, as well as a projected increase in capacity constraints, the US Military's Airborne Tactical Network (ATN) is at the onset of a technical transition of their communication hardware and software. While the technical challenges appear to be addressed and agreed upon, the particular challenge lies in navigating the social and organizational challenges of decentralized control, stakeholder misalignment, network externalities, bureaucratic organizational procedures, and limited windows of opportunity. To alleviate these sources of resistance, this thesis proposes an incremental transition strategy that minimizes changes to operational procedures and distributes costs/benefits through schedule-based policy. This research developed a quantitative model to simulate a representative environment of aircraft maintenance routines, flight time, and network usage. Using this model, four incremental strategies were compared including regional, stakeholder-specific, platform-specific, and ""big bang"" approaches. By evaluating network performance improvements and representative cost profiles, this thesis contends that utilizing an incremental regional or stakeholder-specific strategy is a valid path forward for the ATN transformation. Additional research is necessary; however, to better understand the social dynamics between stakeholders and the relative magnitude of costs associated with each option. This thesis finally presents a 5th incremental strategy utilizing functional increments, which modifies the technical deployment of the systems by staging levels of upgrades sequentially over time. If this is technically viable, the results would distribute lower levels of costs over time and provide enough benefit to account for several years of anticipated growth in network demand.",2013,5/22/25 18:22,5/22/25 18:22,,,,,,,,Implementing technical transitions through schedule-based policy,,,,,"Massachusetts Institute of Technology, Engineering Systems Division",,eng,,,,,mit.primo.exlibrisgroup.com,THESIS Thesis ESD 2013 S.M.,Book Title: Implementing technical transitions through schedule-based policy : insights from the Military's Airborne Tactical Network,,,,,,,,,Massachusetts Institute of Technology Engineering Systems Division; Technology and Policy Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24NKJKY2,thesis,2015,"Chafac, Melvis Ngemasong Ngimndoh; Massachusetts Institute of Technology Institute for Data, Systems; Massachusetts Institute of Technology Engineering Systems Division",Data analysis and simulation approach to capacity planning,,,,,,"In 2012, President Obama signed an Executive Order to improve access to mental health service for active duty members and for veterans. Two years later, in 2014, the President outlined 19 new executive actions to improve the lives of service members with a focus on improving access to mental health care. These actions placed a priority on improving the capacity to provide mental health care. This thesis examines ways of improving the capacity of the mental health system with a focus on system redesign. I review capacity planning, provide a literature review of simulation methods and present a simulation, and data analysis of Site Alpha, a U.S. Army Installation. I also use causal loop diagrams to explore other feasible scenarios that affect care capacity. The key take-away from this work is that system inefficiencies should be dealt with before more resources can be effectively added and used in the system. Another pertinent finding is that the distribution of the providers in the system should be improved. The system also contains high utilizer patients who must be considered when planning for care. The mental health system is extremely complex and risks becoming even more complex. However, by adopting a holistic, systems approach to capacity planning the complexity can be managed.",2015,5/22/25 18:21,5/22/25 18:21,,,,,,,,,,,,,"Massachusetts Institute of Technology, School of Engineering, Institute for Data, Systems, and Society",,eng,,,,,mit.primo.exlibrisgroup.com,THESIS Thesis IDSS 2016 S.M.,Book Title: Data analysis and simulation approach to capacity planning,,,,,,,,,"Massachusetts Institute of Technology Institute for Data, Systems; Massachusetts Institute of Technology Engineering Systems Division",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24X5X5G3,thesis,2022,"Acharya, Prithvi","Effective, Fair, and Over-the-Air: Data-driven policy recommendations for passenger vehicle inspection programs in the United States",,,,,https://kilthub.cmu.edu/articles/thesis/Effective_Fair_and_Over-the-Air_Data-driven_policy_recommendations_for_passenger_vehicle_inspection_programs_in_the_United_States/20110292/1,"This dissertation presents three examples of how jurisdictions can employ large data sets and statistical methods to assess and design efficient and equitable passenger vehicle inspection and maintenance programs (I/M programs). Chapter 2 quantities the effects of I/M programs on road fatalities by applying panel specifications to a data set covering all 50 U.S. states over a 44-year period. Fixed effects (FE) estimates suggest that states with I/M programs had 5.5% fewer roadway fatalities per 100,000 registered passenger vehicles each year. A supporting two-stage least-squares (2SLS) specification also implies causality. Chapter 3 proposes transparent models to identify over-emitting vehicles, using only data which may be collected over-the-air through telematics systems. These modelswere up to 24% more accurate than the current test methodology, in a stratified data sample. These statistical models are a proof-of-concept for I/M programs where jurisdictions may remotely identify over-emitting vehicles, without requiring a physical inspection. Chapter 4 breaks down the annualized user costs of emissions inspection programs. An assessment of data from Pennsylvania finds that in 2016, the average user cost was $56 per vehicle—which includes $44 in test fees, $3 in repair costs, and $9 in indirect costs. Further, the results show that costs vary substantially: that on average, older vehicles have lower test fees but higher repair costs, and that vehicle owners in neighborhoods with lower median incomes or more minority residents may pay more in test fees and repair costs. The proliferation of telematics, driver assistance technologies, and electric vehicles is ushering in an era of ‘intelligent’ transportation systems. As modern vehicles rely on increasingly large amounts of data, this dissertation presents a case for why the regulations and policies governing their inspection and maintenance, may be improved by leveraging data-driven assessments and models.",7/8/22,5/20/25 15:37,5/20/25 15:37,5/20/25 15:37,,,,,,,"Effective, Fair, and Over-the-Air",,,,,Carnegie Mellon University,,en,,thesis,,,kilthub.cmu.edu,,DOI: 10.1184/R1/20110292.v1,,"/Users/stacy/Zotero/storage/PYJTSXFG/Acharya - 2022 - Effective, Fair, and Over-the-Air Data-driven policy recommendations for passenger vehicle inspecti.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25W64FWG,thesis,2012,"Jathar, Shantanu Hemant",Modeling Secondary Organic Aerosol Formation From Emissions of Combustion Sources,,,,,https://kilthub.cmu.edu/articles/thesis/Modeling_Secondary_Organic_Aerosol_Formation_From_Emissions_of_Combustion_Sources/6720698/1,"Atmospheric aerosols exert a large influence on the Earth’s climate and cause adverse public health effects, reduced visibility and material degradation. Secondary organic aerosol (SOA), defined as the aerosol mass arising from the oxidation products of gas-phase organic species, accounts for a significant fraction of the submicron atmospheric aerosol mass. Yet, there are large uncertainties surrounding the sources, atmospheric evolution and properties of SOA. This thesis combines laboratory experiments, extensive data analysis and global modeling to investigate the contribution of semi-volatile and intermediate volatility organic compounds (SVOC and IVOC) from combustion sources to SOA formation. The goals are to quantify the contribution of these emissions to ambient PM and to evaluate and improve models to simulate its formation. To create a database for model development and evaluation, a series of smog chamber experiments were conducted on evaporated fuel, which served as surrogates for real-world combustion emissions. Diesel formed the most SOA followed by conventional jet fuel / jet fuel derived from natural gas, gasoline and jet fuel derived from coal. The variability in SOA formation from actual combustion emissions can be partially explained by the composition of the fuel. Several models were developed and tested along with existing models using SOA data from smog chamber experiments conducted using evaporated fuel (this work, gasoline, fischertropschs, jet fuel, diesels) and published data on dilute combustion emissions (aircraft, on- and off-road gasoline, on- and off-road diesel, wood burning, biomass burning). For all of the SOA data, existing models under-predicted SOA formation if SVOC/IVOC were not included. For the evaporated fuel experiments, when SVOC/IVOC were included predictions using the existing SOA model were brought to within a factor of two of measurements with minor adjustments to model parameterizations. Further, a volatility-only model suggested that differences in the volatility of the precursors were able to explain most of the variability observed in the SOA formation. For aircraft exhaust, the previous methods to simulate SOA formation from SVOC and IVOC performed poorly. A more physically-realistic modeling framework was developed, which was then used to show that SOA formation from aircraft exhaust was (a) higher for petroleumbased than synthetically derived jet fuel and (b) higher at lower engine loads and vice versa. All of the SOA data from combustion emissions experiments were used to determine source-specific parameterizations to model SOA formation from SVOC, IVOC and other unspeciated emissions. The new parameterizations were used to investigate their influence on the OA budget in the United States. Combustion sources were estimated to emit about 2.61 Tg yr-1 of SVOC, IVOC and other unspeciated emissions (sixth of the total anthropogenic organic emissions), which are predicted to double SOA production from combustion sources in the United States. The contribution of SVOC and IVOC emissions to global SOA formation was assessed using a global climate model. Simulations were performed using a modified version of GISS GCM II’. The modified model predicted that SVOC and IVOC contributed to half of the OA mass in the atmosphere. Their inclusion improved OA model-measurement comparisons for absolute concentrations, POA-SOA split and volatility (gas-particle partitioning) globally suggesting that atmospheric models need to incorporate SOA formation from SVOC and IVOC if they are to reasonably predict the abundance and properties of aerosols. This thesis demonstrates that SVOC/IVOC and possibly other unspeciated organics emitted by combustion sources are very important precursors of SOA and potentially large contributors to the atmospheric aerosol mass. Models used for research and policy applications need to represent them to improve model-predictions of aerosols on climate and health outcomes. The improved modeling frameworks developed in this dissertation are suitable for implementation into chemical transport models.",8/1/12,5/20/25 15:34,5/20/25 15:34,5/20/25 15:28,,,,,,,,,,,,Carnegie Mellon University,,en,,thesis,,,kilthub.cmu.edu,,DOI: 10.1184/R1/6720698.v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268KRD4J,thesis,2009,"Sasanuma, Katsunobu; Massachusetts Institute of Technology Engineering Systems Division; Technology and Policy Program; Massachusetts Institute of Technology Operations Research Center",Policies for parking pricing derived from a queueing perspective,,,,,,"Drivers in urban neighborhoods who cruise streets, seeking inexpensive on-street parking create a significant fraction of measured traffic congestion. The solution to this problem is to reduce the total traffic volume including cruising traffic by implementing a congestion pricing scheme: the imposition of a usage fee on a limited-capacity resource during times of high demand. We review the history of two alternatives for implementing the scheme: road pricing, which involves cordoning off a section of the center city and imposing a fee on all vehicles that enter it; and parking pricing, which increases the costs of on-street and perhaps off-street parking. We find that parking pricing is often a needed companion to road pricing, since in many environments a significant fraction of drivers are simply cruising, looking for inexpensive on-street parking. However, the effectiveness of parking pricing is difficult to analyze quantitatively because vehicles cruising for parking are not clearly distinguishable from other vehicles. We view that the pool of drivers cruising at any time can be modeled as a queue, where 'queue service' is the act of parking in a recently vacated parking space and queue discipline is SIRO - Service In Random Order. We develop a queueing model of such driver behavior, allowing impatient drivers to abandon the queue and to settle for expensive off-street parking. We then relate the model to the economic theory of congestion pricing, arguing that price differentials between on-street and off-street parking should be reduced in order to reduce traffic congestion. Using the ""Parking Queue"" model and collected data, we estimate that less than half of cruising drivers successfully find a vacant spot and the number of cruising vehicles is 10-20% of the total number of parking spaces during peak hours in the most congested area in Boston.",2009,5/22/25 18:28,5/22/25 18:28,,,,,,,,,,,,,"Massachusetts Institute of Technology, Engineering Systems Division",,eng,,,,,mit.primo.exlibrisgroup.com,THESIS Thesis ESD 2009 S.M.,Book Title: Policies for parking pricing derived from a queueing perspective,,,,,,,,,Massachusetts Institute of Technology Engineering Systems Division; Technology and Policy Program; Massachusetts Institute of Technology Operations Research Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26VRW7LF,thesis,2014,"Harish, Santosh Maddur",Access to Electricity in Rural India Tradeoffs and Interventions for Meaningful Electrification,,,,,https://kilthub.cmu.edu/articles/thesis/Access_to_Electricity_in_Rural_India_Tradeoffs_and_Interventions_for_Meaningful_Electrification/6714551/1,"This thesis investigates the engineering economics of interventions to reduce consumer inconvenience due to unreliable electricity supply in rural India. The work introduces and applies a novel approach to estimate interruption costs as loss in consumer surplus due to restricted consumption of electricity services. Chapter 2 reports an assessment that compares grid extension with distributed generation (DG) alternatives, based on the subsidies they will necessitate, and costs of service interruptions that are appropriate in the rural Indian context. Despite the inclusion of interruption costs, standalone DG does not appear to be competitive with grid extension at distances of less than 17 km. However, backing up unreliable grid service with local DG plants is attractive when reliability is very poor, even in previously electrified villages. Introduction of energy efficient lighting changes these economics, and the threshold for acceptable grid unreliability significantly reduces. Chapter 3 analyzes supply rostering (alternatively, “load shedding”) in metropolitan, small town and rural feeders in and around Bangalore city. The inequity in load shedding is analyzed through transfers due to differential tariffs between the urban and rural residential consumers, and the relief provided to BESCOM, through avoided procurement of additional supply from generators, because rural and small town feeders are load shed higher than Bangalore city. The values of the load shedding transfers are estimated to be in the range of Rs. 120-380/consumer-year from the rural consumers, and Rs. 220- 370/consumer-year from the small town consumers. The metropolitan consumers are found to be net beneficiaries. The viability of using smart meters to provide current limited but uninterrupted supply is investigated as one alternative to outright blackouts. Chapter 4 develops a broader theoretical framework that can be used to model consumer demand for electricity services with unreliable supply and adaptation. Demand for energy ‘services’ is modeled by incorporating time of use, duration and deferability. Supply reliability is disaggregated into its constituent dimensions– mean and variance of supply availability in times of high demand, and supply predictability, and their respective impacts on consumer welfare are discussed. Primary data collected from Karnataka inform the discussion, especially with backup adoption. New consumer-oriented reliability indices are proposed.",8/1/14,5/20/25 15:34,5/20/25 15:57,5/20/25 15:23,,,,,,,,,,,,Carnegie Mellon University,,en,,thesis,,,kilthub.cmu.edu,,DOI: 10.1184/R1/6714551.v1,,/Users/stacy/Zotero/storage/NZ4UUPDX/Harish - 2014 - Access to Electricity in Rural India Tradeoffs and Interventions for Meaningful Electrification.pdf,,,/new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29GFC4S5,thesis,2017,"Zhang, Xiaochen",Welfare Properties of Recommender Systems,,,,,https://kilthub.cmu.edu/articles/thesis/Welfare_Properties_of_Recommender_Systems/6724262/1,"Recommender systems are ubiquitously used by online vendors as profitable tools to boost sales and enhance the purchase experience of their consumers. In recent literature, the value created by recommender systems are discussed extensively. In contrast, few researchers look at the negative side of the recommender systems from the viewpoint of policymakers. To fill this gap, I critically investigate the welfare impact of recommender systems (RSs) during my Ph.D. study. The main focus of my Ph.D. dissertation is analyzing whether there exists a conflict of interest between the recommendations provider and its consumers in the electronic marketplace. My dissertation is composed of three parts. In Part I, I evaluate empirically whether in the real world, the profit-driven firm will choose a recommendation mechanism that hurts or is suboptimal to its consumers. In Part II, I analyze the role of personalization technology in the RSs from a unique perspective of how personalization resembles price discrimination as a profitable tool to exploit consumer surplus. In part III, I investigate the vendor’s motivation to increase the level of personalization in two-period transactions. As the RSs are designed by the firm, and the firm’s objective is to maximize profits, the RSs might not maximize consumers’ welfare. In Part I of my thesis work, I test the existence of such a conflict of interest between the firm and its consumers. I explore this question empirically with a concrete RS created by our industry collaborator for their Video-on-Demand (VoD) system. Using a large-scale dataset (300,000 users) from a randomized experiment on the VoD platform, I simulate seven RSs based on an exponential demand model with listed movie orders and prices as key inputs, estimated from the experimental dataset. The seven simulated RSs differ by the assignments of listed orders for selected recommended movies. Specifically, assignments are chosen to maximize profits, consumer surplus, social welfare, popularity (IMDB votes and IMDB ratings), and previous sales, as well as random assignments. As a result, the profit-driven recommender system generates 8% less consumer surplus than the consumer-driven RSs, providing evidence for a conflict of interest between the vendor and its consumers. Major e-vendors personalize recommendations by different algorithms that depend on how much and types of consumer information obtained. Therefore, the welfare evaluations of personalized recommendation strategies by empirical methods are hard to generalize. In Part II of my thesis, I base my analysis of personalization in RSs on a conceptual approach. Under an analytic framework of horizontal product differentiation and heterogenous consumer preferences, the resemblance of personalization to price discrimination in welfare properties is presented. Personalization is beneficial to consumers when more personalization leads to more adoption of recommendations, since it decreases search costs for more consumers. However, when the level surpasses a threshold when all consumers adopt, a more personalized RS decreases consumer surplus and only helps the firm to exploit surplus from consumers. The extreme case of perfect personalization generates the same welfare results as first-degree price discrimination where consumers get perfectly fit recommendations but are charged their willingness-to-pay. As shown in Part II, personalization is always profitable for the monopoly seller. In Part III, I investigate the vendor’s motivation to increase the level of personalization in a two-period transactions. In the first period, consumers do not observe the true quality of the recommendations and choose to accept recommended products or not based on their initial guesses. In the second period, consumers fully learn the quality. The settings of consumer uncertainty and consumer learning incentivize the firm to charge lower-than-exploiting price for recommendations to ensure consumers’ first-period adoptions of the RS. Therefore, uncertainties mediate the conflicts of interest from the vendor’s exploitive behavior even though the vendor might strategically elevate consumers’ initial evaluation to reduce such effect.",5/1/17,5/20/25 15:34,5/20/25 15:34,5/20/25 15:31,,,,,,,,,,,,Carnegie Mellon University,,en,,thesis,,,kilthub.cmu.edu,,DOI: 10.1184/R1/6724262.v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2AKHMBPP,thesis,2016,"Toregozhina, Aizhan; Massachusetts Institute of Technology Institute for Data, Systems; Massachusetts Institute of Technology Engineering Systems Division; Technology and Policy Program",Resiliency of interdependent gas and electricity systems: the New England case,,,,,,"According to the Presidential Policy Directive 21, the natural gas and the power systems should be able to recover quickly following a disaster and also be able to anticipate high-impact, low-probability events, rapidly recover, and absorb lessons for adapting its operation and structure for preventing or mitigating the impact of similar events in the future. All of this brings in a growing need for resiliency as the natural gas and electricity systems need to have robust recovery strategies in the face of physical, environmental, cybernetic, security or societal threats. The importance of gas and electricity system resilience increases even further, as the interdependency of the two sectors deepens, especially here in New England, where natural gas now accounts for 50% of region's total power plant capacity. In this thesis, a mixed integer linear programming (MILP) model of integrated gas and electricity system is used to do contingency analysis and determine components of both systems that are critical to improve resilience. The model's main contribution is that it represents gas dynamics accurately. Using this model, we looked at several threats at the junction of gas and electricity systems. Based on the model results, higher line-pack, and pressures, as well as additional compressor capacity investments, were shown to improve system resiliency. The model could be used as a decision support tool for policy-makers to do contingency analysis of gas-electricity systems.",2016,5/22/25 18:29,5/22/25 18:29,,,,,,,,Resiliency of interdependent gas and electricity systems,,,,,"Massachusetts Institute of Technology, School of Engineering, Institute for Data, Systems, and Society, Technology and Policy Program",,eng,,,,,mit.primo.exlibrisgroup.com,THESIS Thesis IDSS 2016 S.M.,Book Title: Resiliency of interdependent gas and electricity systems : the New England case,,,,,,,,,"Massachusetts Institute of Technology Institute for Data, Systems; Massachusetts Institute of Technology Engineering Systems Division; Technology and Policy Program",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2BHGBQLG,thesis,2014,"Accuardi, Zachary A. Campbell; Massachusetts Institute of Technology Engineering Systems Division; Technology and Policy Program",Resource use in the Chinese building sector: foundations for analyzing urban transition,,,,,,"Around the world, people are moving to cities in order to become wealthy, especially in developing countries undergoing socio-economic transition. This will dramatically change the way that society consumes resources, in terms of both materials and energy. We will need to better understand how resource use changes as development happens in order to focus efforts to reduce that resource use. China is undergoing this transition as it enters the global stage, and with global implications for resource use. The building sector in China is especially resource-intensive, fundamentally driven by the country's urbanization, and plays a prominent role in the Chinese economy, making it a good candidate for the study of how systems adopt sustainable practices. I approach this problem in two ways. The first is quantitative, using k-means statistical clustering on longitudinal resource use data from Chinese statistical yearbooks, in order to identify and compare transitions across provinces in China. In comparing the evolution of the building sector across provinces, my analysis suggests that development pathways are more distinct than discrete development stages. I identify two development pathway 'types' in China. The first is an urban path taken by Beijing, Shanghai, and Tianjin -- the three most heavily urbanized provinces. All other provinces follow a general business-as-usual path, though I also identify sub-pathways to further differentiate between the other 27 provinces. These development typologies are one means of quantitatively operationalizing the abstract notion of transition. Identifying such pathways may highlight opportunities for learning between provinces within the same path, and one could apply similar methods to other scales of analysis (e.g. urban or national). My second approach is qualitative, driven by interviews conducted primarily in Beijing with various stakeholders in the Chinese building sector. In this analysis, I discuss the particularities of the actors and processes involved in Chinese real estate development, identify opportunities for and barriers to reduced life-cycle energy use in buildings, and describe three distinctive and ongoing sustainability experiments with the potential for significant resource use reductions. This research emphasizes the need for integrated approaches to both research and practice in approaching sustainability transitions, and provides a set of complementary frameworks for their analysis.",2014,5/22/25 18:22,5/22/25 18:22,,,,,,,,Resource use in the Chinese building sector,,,,,"Massachusetts Institute of Technology, Engineering Systems Division, Technology and Policy Program",,eng,,,,,mit.primo.exlibrisgroup.com,THESIS Thesis ESD 2014 S.M.,Book Title: Resource use in the Chinese building sector : foundations for analyzing urban transition,,,,,,,,,Massachusetts Institute of Technology Engineering Systems Division; Technology and Policy Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2BK3MLKF,thesis,2016,"Kuiper, Jan Jurjen",Making Eco Logic and Models Work: An Integrative Approach to Lake Ecosystem Modelling,,,,,https://www.proquest.com/docview/2566021176?pq-origsite=primo,"A principal aim of ecologists is to identify critical levels of environmental change beyond which ecosystems undergo radical shifts in their functioning. Dynamical ecosystem models are tools that can help ecologists to understand complex systems, and turn this understanding into predictions of how these systems respond to external changes. This thesis revolves around PCLake, an integrated ecosystem model of shallow lakes, which is used by both scientists and water quality managers to understand and predict abrupt regime shift in shallow lake ecosystems. Chapter 1 of this thesis presents a general introduction. First the urgency of global environmental change is stressed, along with the responsibility of science to support human societies resolving sustainability issues. Subsequently the argument is made that dynamical models are highly useful tools for obtaining a better understanding of complex systems and for turning this understanding into predictions. The introduction continues with a short review of the important features of shallow lake ecosystems, highlighting that they provide numerous important ecosystem services to human societies, but also showing that lakes are among the most impacted ecosystems on the planet. Thereafter, the most important stress factors to lakes are presented, along with different ways of how lakes may respond to stress. Then the shallow lake ecosystem model PCLake is introduced, which can be used to study and predict the response of lakes to stress. Also the European Water Framework Directive (WFD) is introduced, and it is argued that there is huge potential for PCLake to help ecosystem managers reach their WFD targets. Finally the overarching research project is introduced where this thesis is part of. The broad aim of the overall project was to increase the usefulness of PCLake, and its sister model PCDitch, in contemporary science and ecosystem management. The project involved a collaboration between the Netherlands Foundation for Applied Water Research (STOWA), the Netherlands Institute of Ecology (NIOO-KNAW), Wageningen University & Research centre (WUR), the Netherlands Environmental Assessment Agency (PBL) and Witteveen+Bos, a private engineering consultancy. The heart of the project consisted of two PhD studies, one on PCLake and one on PCDitch, and quite a few case studies on aquatic ecosystems in the Netherlands. Four objectives were identified as important pillars of the overarching project: (1) to make the models more accessible, (2) to make improvements to the models, (3) to increase our understanding of the models as well as the ecosystems they portray and (4) to explore new applications of the models in lake ecosystem management. The chapters of this thesis follow from these four pillars.In chapter 2, the Database Approach To Modelling (DATM) is introduced, which is invented to make dynamic models more accessible. The idea of DATM is that the mathematical equations of a model are stored in a database independently of program language and software specific information. From the database, the information can be automatically translated, augmented and compiled into working model code of various different modelling frameworks (software programs). This procedure allows for easy switching between frameworks, which facilitates the collaboration between modellers. It also makes it possible to exploit the joint multitude of the tools and analysis provided by the different frameworks. An additional advantage is that working in a database provides structure and overview, which makes it easier for modellers and non-modellers to grasp the mathematical formulations. We describe the approach using the simple Lotka-Volterra predator prey model and exemplify it with the complex model PCLake.In chapter 3 we reflect on the weak link between ecosystem models and real ecosystems and discuss the consequences for calibration and improvement of PCLake. The apparent weak link between a model and reality implies that it will be merely impossible to accurately parameterize all individual model components on basis of empirical data. A solution is oftentimes found in model calibration at an aggregated level, whereby the components are aligned in such a way that together they do an adequate job in describing those ecosystem level variables that are relevant to ecosystem managers, such as total productivity and water transparency. By doing so, any missing dynamics may still be accounted for, albeit indirectly, by modifying the functionality of the components that are explicitly included. An important consequence is that once calibration has been performed, any model 'improvement' in the form of adding more components may bring the model 'out of balance' as it may lead to double counting with the implicit components. To exemplify this line of reasoning the PCLake model was expanded with a filter feeding zoobenthos group. These species are always present in the shallow lakes simulated by PCLake, but were until yet not dealt with explicitly in the model itself but implicitly included in the zooplankton grazing rate during previous calibration. To elucidate how the zooplankton grazing is changed by the explicit inclusion of filter feeding benthos, the original calibration routine was re-established using data from more than 40 lakes. Indeed, it turned out that, to maintain a good fit, the zooplankton grazing rate needs to be lowered. Nevertheless, the analysis showed that calibrating only the zooplankton grazing rate is not sufficient to make the addition of chironomids an improvement to the overall fit of the model.In chapter 4, the relation between complex ecosystem models and empirical food web models is scrutinized. Both modelling paradigms are highly influential in modern ecology as both food-web theory and alternative stable states theory help scientists understand how stability is conferred to complex ecosystems. Unfortunately, it is largely unclear how the concept of food-web stability is associated with the resilience of ecosystems susceptible to regime change, and hence how insights from these different fields can be aligned. In this study we treat PCLake as a virtual reality from which we can sample 'empirical' information to parameterize a food web model, following traditional food web methods. Accordingly, the food web model can be analyzed for its stability using the Jacobian matrix approach. We repeated this exercise along the eutrophication gradient, knowing that PCLake will show a regime shift when a critical nutrient loading is reached. By doing so, we show that impending catastrophic shifts in shallow lakes are preceded by a destabilizing reorganization of interaction strengths in the aquatic food web, and obtain insight in the biological interactions underlying regime shifts in shallow lake.The results of chapter 4 raise the question how exactly stability properties of the ecosystem model are transferred to the empirical food web model. In other words, for a system of consumer resource interactions in equilibrium, is it the exact shape of the functional response of the interactions (e.g. linear vs. nonlinear), or is the patterning of interaction strengths in the network (e.g. degree of omnivory, connectance etc.) that is decisive in determining the stability properties of the system? Given the complexity of PCLake and the produced food web models it is difficult to answer these questions. In chapter 5, the extent to which models of a different form can describe the same natural phenomenon is further addressed. We zoom in on the influence of the functional response terms rather than the number of equations. Using three classical extensions of the famous Lotka-Volterra equations we analyze the consequence of changing a system with a sophisticated functional response term (e.g. Holling type II or III) into a system with a simpler functional response term while maintaining equilibrium densities and material fluxes. We are interested in the extent to which stability properties of a complex system can be reflected by a simpler system. Our main result is that changing nonlinear terms in simple models of consumer resource interactions into linear ones, while maintaining the equilibrium densities and the transfer of mass, has a strong impact on the stability properties of the model system. Although transcritical bifurcations (species extinction/invasion thresholds) are maintained after changing the shape of the interaction terms, the so called hopf and saddle-node bifurcations were lost. Especially the latter is important for ecosystem managers that wish to anticipate and prevent abrupt regime shifts. These results give new insight into when empirical data can be linked to mathematical models to estimate the stability properties of real ecosystems.In chapter 6, a new application of PCLake is presented. Although PCLake is predominantly applied in the context of ecosystem restoration of turbid phytoplanktondominated lakes, this study focusses on the clear water state after the reestablishment of aquatic plant dominance. Dense stands of aquatic plants easily cause nuisance, and hence the removal of aquatic plants is an emerging management issue. Yet, because aquatic plants play an important role in stabilizing the clear water state, the removal of plant biomass can potentially trigger a critical transition back to the turbid water state. Currently there is only limited empirical and theoretical understanding of how harvesting of aquatic plants affects ecosystem functioning, which frustrates effective and efficient ecosystem management. With PCLake the impact of harvesting is evaluated, in terms of reducing nuisance and ecosystem stability, for a wide range of external nutrient loadings, mowing intensities and timings. Additionally, the model is used to estimate how much phosphorus is removed from the system during harvesting. The results show that mowing can temporarily reduce nuisance cau",2016,5/22/25 18:31,5/22/25 18:31,5/22/25 18:31,,,,,,,Making Eco Logic and Models Work,,,,,ProQuest Dissertations & Theses,,eng,,,,,mit.primo.exlibrisgroup.com,,Book Title: Making Eco Logic and Models Work: An Integrative Approach to Lake Ecosystem Modelling ISBN: 9798708787637,,,,,Aquatic plants; Carbon; Ecology; Environmental conditions; Eutrophication; Lakes; Nutrients; Phosphorus; Rivers; Software; System analysis; Water quality; Wetlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
